"amvcountryname","amvregion","amvpopulation","amvareasqmiles","amvdensitypersqkm","amvnetmigration","amvmortalityper1000","amvgdp","amvliteracy","amvphonesper1000","amvarable","amvcrops","amvothers","amvbirthrate","amvdeathrate"
"Afghanistan ","ASIA (EX. NEAR EAST)         ","31056997","647500","48","23.06","163.0","700","36","3.2","12.1","0.22","87.65","46.6","20.3"
"Albania ","EASTERN EUROPE                     ","3581655","28748","124.6","-4.93","21.52","4500","86.5","71.2","21.0","4.42","74.49","15.1","5.22"
"Algeria ","NORTHERN AFRICA                    ","32930091","2381740","13.8","-0.39","31","6000","70","78.1","3.22","0.25","96.53","17.1","4.61"
"American Samoa ","OCEANIA                            ","57794","199","290.4","-20.7","9.27","8000","97","259.5","10","15","75","22.4","3.27"
"Andorra ","WESTERN EUROPE                     ","71201","468","152.1","6.6","4.05","19000","100","497.2","2.22","0","97.78","8.71","6.25"
"Angola ","SUB-SAHARAN AFRICA                 ","12127071","1246700","9.7","0","191.1","1900","42","7.8","2.41","0.24","97.35","45.1","24.2"
"Anguilla ","LATIN AMER. & CARIB    ","13477","102","132.1","10.76","21.03","8600","95","460","0","0","100","14.1","5.34"
"Antigua & Barbuda ","LATIN AMER. & CARIB    ","69108","443","156","-6.15","19.46","11000","89","549.9","18.1","4.55","77.27","16.9","5.37"
"Argentina ","LATIN AMER. & CARIB    ","39921833","2766890","14.4","0.61","15.18","11200","97.1","220.4","12.3","0.48","87.21","16.7","7.55"
"Armenia ","C.W. OF IND. STATES ","2976372","29800","99.9","-6.47","23.28","3500","98.6","195.7","17.5","2.3","80.15","12.0","8.23"
"Aruba ","LATIN AMER. & CARIB    ","71891","193","372.5","0","5.89","28000","97","516.1","10.5","0","89.47","11.0","6.68"
"Australia ","OCEANIA                            ","20264082","7686850","2.6","3.98","4.69","29000","100","565.5","6.55","0.04","93.41","12.1","7.51"
"Austria ","WESTERN EUROPE                     ","8192880","83870","97.7","2","4.66","30000","98","452.2","16.9","0.86","82.23","8.74","9.76"
"Azerbaijan ","C.W. OF IND. STATES ","7961619","86600","91.9","-4.9","81.74","3400","97","137.1","19.6","2.71","77.66","20.7","9.75"
"Bahamas, The ","LATIN AMER. & CARIB    ","303770","13940","21.8","-2.2","25.21","16700","95.6","460.6","0.8","0.4","98.8","17.5","9.05"
"Bahrain ","NEAR EAST                          ","698585","665","1050.5","1.05","17.27","16900","89.1","281.3","2.82","5.63","91.55","17.8","4.14"
"Bangladesh ","ASIA (EX. NEAR EAST)         ","147365352","144000","1023.4","-0.71","62.6","1900","43.1","7.3","62.1","3.07","34.82","29.8","8.27"
